Course Name,Course ID,Attempt ID,Candidate Name,Candidate Email,Mark,Grade
Python Programming,CS101,1,Sophia Johnson,sophia.johnson725@gmail.com,90.9,A
Python Programming,CS101,2,Sophia Johnson,sophia.johnson725@gmail.com,73.0,C
Data Structures,CS102,1,Sophia Johnson,sophia.johnson725@gmail.com,69.7,D
Data Structures,CS102,2,Sophia Johnson,sophia.johnson725@gmail.com,89.8,B
Database Management,CS103,1,Sophia Johnson,sophia.johnson725@gmail.com,85.2,B
Database Management,CS103,2,Sophia Johnson,sophia.johnson725@gmail.com,78.8,C
Web Development,CS104,1,Sophia Johnson,sophia.johnson725@gmail.com,87.1,B
Machine Learning,CS105,1,Sophia Johnson,sophia.johnson725@gmail.com,84.8,B
Machine Learning,CS105,2,Sophia Johnson,sophia.johnson725@gmail.com,96.1,A
Algorithms,CS106,1,Sophia Johnson,sophia.johnson725@gmail.com,87.1,B
Algorithms,CS106,2,Sophia Johnson,sophia.johnson725@gmail.com,91.2,A
Algorithms,CS106,3,Sophia Johnson,sophia.johnson725@gmail.com,96.5,A
Software Engineering,CS107,1,Sophia Johnson,sophia.johnson725@gmail.com,87.3,B
Software Engineering,CS107,2,Sophia Johnson,sophia.johnson725@gmail.com,77.6,C
Computer Networks,CS108,1,Sophia Johnson,sophia.johnson725@gmail.com,82.4,B
Python Programming,CS101,1,Maria Ali,maria.ali235@gmail.com,77.8,C
Python Programming,CS101,2,Maria Ali,maria.ali235@gmail.com,71.7,C
Data Structures,CS102,1,Maria Ali,maria.ali235@gmail.com,72.8,C
Data Structures,CS102,2,Maria Ali,maria.ali235@gmail.com,72.2,C
Data Structures,CS102,3,Maria Ali,maria.ali235@gmail.com,84.6,B
Database Management,CS103,1,Maria Ali,maria.ali235@gmail.com,80.5,B
Database Management,CS103,2,Maria Ali,maria.ali235@gmail.com,62.1,D
Web Development,CS104,1,Maria Ali,maria.ali235@gmail.com,75.7,C
Web Development,CS104,2,Maria Ali,maria.ali235@gmail.com,87.1,B
Machine Learning,CS105,1,Maria Ali,maria.ali235@gmail.com,70.0,C
Algorithms,CS106,1,Maria Ali,maria.ali235@gmail.com,66.2,D
Algorithms,CS106,2,Maria Ali,maria.ali235@gmail.com,82.9,B
Software Engineering,CS107,1,Maria Ali,maria.ali235@gmail.com,74.5,C
Software Engineering,CS107,2,Maria Ali,maria.ali235@gmail.com,71.9,C
Software Engineering,CS107,3,Maria Ali,maria.ali235@gmail.com,79.4,C
Computer Networks,CS108,1,Maria Ali,maria.ali235@gmail.com,72.4,C
Computer Networks,CS108,2,Maria Ali,maria.ali235@gmail.com,82.7,B
Python Programming,CS101,1,Fatima Patel,fatima.patel928@gmail.com,76.8,C
Python Programming,CS101,2,Fatima Patel,fatima.patel928@gmail.com,79.0,C
Python Programming,CS101,3,Fatima Patel,fatima.patel928@gmail.com,85.0,B
Data Structures,CS102,1,Fatima Patel,fatima.patel928@gmail.com,92.6,A
Data Structures,CS102,2,Fatima Patel,fatima.patel928@gmail.com,80.7,B
Database Management,CS103,1,Fatima Patel,fatima.patel928@gmail.com,73.5,C
Database Management,CS103,2,Fatima Patel,fatima.patel928@gmail.com,93.3,A
